Sample,Trt,Rep,Block,SoilType,Variety,SoilYear,DateGerm,WCR,DateWCR,WCRAdded,Height,Vstage,RootMass,ShootMass,RootShootRatio,WCRRecovered,WCRSurvival,WCRWeightAvg,WCRInstarAvg,WCRTotalWeight,WCR3rdInstar
F30,F,30,4,ConvFallow,MastersChoice,2021,8/3/2021,no,8/31/2021,0,44,5,0.7534,1.1141,0.676240912,NA,NA,NA,NA,NA,NA
F31,F,31,4,ConvFallow,MastersChoice,2021,8/3/2021,yes,8/31/2021,20,41,4,NA,0.72,NA,9,0.45,1.037222222,2.888888889,9.335,0.888888889
F32,F,32,4,ConvFallow,MastersChoice,2021,8/3/2021,yes,8/31/2021,18,44,4,NA,0.8439,NA,6,0.333333333,1.361666667,3,8.17,1
G25,G,25,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,46,5,0.7474,1.2948,0.577232005,NA,NA,NA,NA,NA,NA
G26,G,26,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,35,4,NA,0.9495,NA,3,0.15,0.267666667,2.666666667,0.803,0.666666667
G27,G,27,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,48,5,NA,1.184,NA,5,0.25,1.0212,3,5.106,1
G28,G,28,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,41,5,0.4863,0.9551,0.509161344,NA,NA,NA,NA,NA,NA
G29,G,29,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,49,5,0.6725,1.1112,0.605201584,NA,NA,NA,NA,NA,NA
G30,G,30,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,40,4,NA,1.3013,NA,5,0.25,0.4432,2.8,2.216,0.8
G31,G,31,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,39,5,NA,1.0943,NA,10,0.5,0.8765,2.8,8.765,0.8
G32,G,32,4,CCFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,31,5,0.3372,1.1201,0.30104455,NA,NA,NA,NA,NA,NA
H25,H,25,4,CCPea,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,42,5,0.7768,1.394,0.557245337,NA,NA,NA,NA,NA,NA
H26,H,26,4,CCPea,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,43,5,0.9445,1.3433,0.703119184,NA,NA,NA,NA,NA,NA
H27,H,27,4,CCPea,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,36,5,0.6112,1.3705,0.445968625,NA,NA,NA,NA,NA,NA
H28,H,28,4,CCPea,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,30,5,NA,1.2401,NA,5,0.25,1.0086,2.8,5.043,0.8
H29,H,29,4,CCPea,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,30,5,NA,1.0019,NA,2,0.1,0.376,3,0.752,1
H30,H,30,4,CCPea,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,42,5,NA,1.619,NA,2,0.1,0.8635,3,1.727,1
H31,H,31,4,CCPea,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,44,5,0.9684,1.2482,0.775837206,NA,NA,NA,NA,NA,NA
H32,H,32,4,CCPea,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,51,5,NA,1.9699,NA,10,0.5,1.5044,3,15.044,1
I25,I,25,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,18,32,5,NA,0.804,NA,2,0.1,0.7765,3,1.553,1
I26,I,26,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,44,5,0.7087,1.1846,0.598261016,NA,NA,NA,NA,NA,NA
I27,I,27,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,45,5,0.5686,0.9079,0.626280427,NA,NA,NA,NA,NA,NA
I28,I,28,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,28,5,NA,0.8122,NA,9,0.45,0.493,3,4.437,1
I29,I,29,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,34,4,NA,1.1416,NA,8,0.4,0.594125,2.875,4.753,0.875
I30,I,30,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,45,5,0.8148,1.1026,0.738980591,NA,NA,NA,NA,NA,NA
I31,I,31,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,37,5,0.556,0.739,0.752368065,NA,NA,NA,NA,NA,NA
I32,I,32,4,CCRadish,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,19,33,5,NA,0.9333,NA,3,0.15,1.144333333,3,3.433,1
J25,J,25,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,38,5,NA,1.4578,NA,1,0.05,2.053,3,2.053,1
J26,J,26,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,35,5,0.5144,1.1744,0.438010899,NA,NA,NA,NA,NA,NA
J27,J,27,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,52,5,NA,1.1998,NA,10,0.5,0.7453,2.666666667,7.453,0.666666667
J28,J,28,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,18,35,5,NA,1.1827,NA,5,0.25,1.41,3,7.05,1
J29,J,29,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,40,5,NA,1.3544,NA,11,0.55,1.886090909,3,20.747,1
J30,J,30,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,34,4,0.4696,1.0288,0.456454121,NA,NA,NA,NA,NA,NA
J31,J,31,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,43,5,1.02,1.4342,0.71119788,NA,NA,NA,NA,NA,NA
J32,J,32,4,CCTriticale,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,50,5,0.8983,1.3204,0.680324144,NA,NA,NA,NA,NA,NA
K25,K,25,4,CCMix,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,32,5,NA,1.9984,NA,9,0.45,1.109222222,3,9.983,1
K26,K,26,4,CCMix,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,43,5,0.5182,1.0554,0.490998673,NA,NA,NA,NA,NA,NA
K27,K,27,4,CCMix,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,50,5,1.0202,1.5477,0.659171674,NA,NA,NA,NA,NA,NA
K28,K,28,4,CCMix,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,30,4,NA,0.9708,NA,16,0.8,0.63925,2.8125,10.228,0.8125
K29,K,29,4,CCMix,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,24,5,NA,1.8054,NA,17,0.85,0.635235294,2.9375,10.799,0.9375
K30,K,30,4,CCMix,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,31,4,0.4892,0.929,0.526587729,NA,NA,NA,NA,NA,NA
K31,K,31,4,CCMix,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,29,5,0.9287,0.8519,1.090151426,NA,NA,NA,NA,NA,NA
K32,K,32,4,CCMix,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,31,5,NA,0.8679,NA,7,0.368421053,0.968857143,3,6.782,1
L25,L,25,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,18,31,5,NA,0.9994,NA,7,0.388888889,1.139857143,3,7.979,1
L26,L,26,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,40,5,0.5473,0.9132,0.599321069,NA,NA,NA,NA,NA,NA
L27,L,27,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,39,5,0.7241,1.2185,0.594255232,NA,NA,NA,NA,NA,NA
L28,L,28,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,31,5,NA,1.1754,NA,4,0.222222222,0.977,3,3.908,1
L29,L,29,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,18,33,4,NA,0.9952,NA,4,0.222222222,1.16325,3,4.653,1
L30,L,30,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,38,5,0.7525,0.8899,0.845600629,NA,NA,NA,NA,NA,NA
L31,L,31,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,no,8/31/2021,0,27,5,1.3338,1.0282,1.29721844,NA,NA,NA,NA,NA,NA
L32,L,32,4,ConvFallow,BlueRiverOrganic,2021,8/3/2021,yes,8/31/2021,20,34,5,NA,0.7296,NA,6,0.333333333,0.900166667,3,5.401,1
A33,A,33,5,CCFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,35,4,0.5868,0.7371,0.796092796,NA,NA,NA,NA,NA,NA
A34,A,34,5,CCFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,46,4,0.6836,1.132,0.603886926,NA,NA,NA,NA,NA,NA
A35,A,35,5,CCFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,52,4,0.7942,1.3527,0.587122052,NA,NA,NA,NA,NA,NA
A36,A,36,5,CCFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,44,5,0.9212,1.4829,0.621215186,NA,NA,NA,NA,NA,NA
A37,A,37,5,CCFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,20,46,4,NA,1.0825,NA,4,0.2,0.1805,2.75,0.722,0.75
A38,A,38,5,CCFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,33,4,NA,0.7673,NA,7,0.368421053,0.12775,2.2,0.511,0.285714286
A39,A,39,5,CCFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,30,4,NA,0.5201,NA,6,0.315789474,0.591166667,2.666666667,3.547,0.666666667
A40,A,40,5,CCFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,20,42,4,NA,0.807,NA,16,0.8,0.8966875,2.875,14.347,0.875
B33,B,33,5,CCPea,MastersChoice,2021,8/16/2021,no,9/14/2021,0,34,5,0.4914,0.8276,0.593765104,NA,NA,NA,NA,NA,NA
B34,B,34,5,CCPea,MastersChoice,2021,8/16/2021,no,9/14/2021,0,45,5,0.5175,0.909,0.569306931,NA,NA,NA,NA,NA,NA
B35,B,35,5,CCPea,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,39,4,NA,0.9186,NA,13,0.684210526,1.099615385,2.769230769,14.295,0.769230769
B36,B,36,5,CCPea,MastersChoice,2021,8/16/2021,no,9/14/2021,0,35,4,0.9504,0.8275,1.148519637,NA,NA,NA,NA,NA,NA
B37,B,37,5,CCPea,MastersChoice,2021,8/16/2021,yes,9/14/2021,17,46,4,NA,0.8956,NA,8,0.470588235,0.929875,3,7.439,1
B38,B,38,5,CCPea,MastersChoice,2021,8/16/2021,yes,9/14/2021,20,44,4,NA,1.1015,NA,5,0.25,0.7254,2.833333333,3.627,1
B39,B,39,5,CCPea,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,42,4,NA,0.8897,NA,13,0.684210526,1.285461538,2.846153846,16.711,0.846153846
B40,B,40,5,CCPea,MastersChoice,2021,8/16/2021,no,9/14/2021,0,41,4,0.7455,0.9442,0.789557297,NA,NA,NA,NA,NA,NA
C33,C,33,5,CCRadish,MastersChoice,2021,8/16/2021,no,9/14/2021,0,45,4,0.8758,0.9228,0.949068054,NA,NA,NA,NA,NA,NA
C34,C,34,5,CCRadish,MastersChoice,2021,8/16/2021,yes,9/14/2021,18,36,4,NA,0.721,NA,11,0.611111111,0.588181818,2.636363636,6.47,0.727272727
C35,C,35,5,CCRadish,MastersChoice,2021,8/16/2021,no,9/14/2021,0,45,4,0.8595,1.1987,0.717026779,NA,NA,NA,NA,NA,NA
C36,C,36,5,CCRadish,MastersChoice,2021,8/16/2021,no,9/14/2021,0,39,4,0.3244,0.5184,0.625771605,NA,NA,NA,NA,NA,NA
C37,C,37,5,CCRadish,MastersChoice,2021,8/16/2021,yes,9/14/2021,20,45,5,NA,0.8412,NA,8,0.4,0.348125,2.875,2.785,0.875
C38,C,38,5,CCRadish,MastersChoice,2021,8/16/2021,yes,9/14/2021,18,45,4,NA,0.764,NA,11,0.611111111,0.525272727,2.909090909,5.778,0.909090909
C39,C,39,5,CCRadish,MastersChoice,2021,8/16/2021,yes,9/14/2021,18,37,4,NA,0.6527,NA,8,0.444444444,0.172,2.5,1.376,0.5
C40,C,40,5,CCRadish,MastersChoice,2021,8/16/2021,no,9/14/2021,0,38,4,0.7226,0.7496,0.96398079,NA,NA,NA,NA,NA,NA
D33,D,33,5,CCTriticale,MastersChoice,2021,8/16/2021,no,9/14/2021,0,39,4,0.7079,1.1445,0.618523373,NA,NA,NA,NA,NA,NA
D34,D,34,5,CCTriticale,MastersChoice,2021,8/16/2021,no,9/14/2021,0,38,4,0.8357,0.9723,0.859508382,NA,NA,NA,NA,NA,NA
D35,D,35,5,CCTriticale,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,41,4,NA,1.3752,NA,6,0.315789474,0.823,2.833333333,4.938,0.833333333
D36,D,36,5,CCTriticale,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,38,4,NA,0.7349,NA,14,0.736842105,0.786,2.857142857,11.004,0.857142857
D37,D,37,5,CCTriticale,MastersChoice,2021,8/16/2021,no,9/14/2021,0,40,4,0.741,0.8447,0.877234521,NA,NA,NA,NA,NA,NA
D38,D,38,5,CCTriticale,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,51,4,NA,1.0305,NA,9,0.473684211,0.454222222,2.777777778,4.088,0.777777778
D39,D,39,5,CCTriticale,MastersChoice,2021,8/16/2021,no,9/14/2021,0,36,4,0.7128,0.9605,0.742113483,NA,NA,NA,NA,NA,NA
D40,D,40,5,CCTriticale,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,35,4,NA,0.695,NA,9,0.473684211,0.345666667,2.666666667,3.111,0.666666667
E33,E,33,5,CCMix,MastersChoice,2021,8/16/2021,no,9/14/2021,0,46,4,0.7158,1.0735,0.666790871,NA,NA,NA,NA,NA,NA
E34,E,34,5,CCMix,MastersChoice,2021,8/16/2021,no,9/14/2021,0,36,4,0.8581,1.2448,0.689347686,NA,NA,NA,NA,NA,NA
E35,E,35,5,CCMix,MastersChoice,2021,8/16/2021,no,9/14/2021,0,50,4,0.8484,1.2103,0.700983227,NA,NA,NA,NA,NA,NA
E36,E,36,5,CCMix,MastersChoice,2021,8/16/2021,no,9/14/2021,0,44,4,0.4762,0.6718,0.708841917,NA,NA,NA,NA,NA,NA
E37,E,37,5,CCMix,MastersChoice,2021,8/16/2021,yes,9/14/2021,20,36,4,NA,1.168,NA,12,0.6,0.506,2.916666667,6.072,0.916666667
E38,E,38,5,CCMix,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,32,4,NA,0.6618,NA,11,0.578947368,1.128454545,3,12.413,1
E39,E,39,5,CCMix,MastersChoice,2021,8/16/2021,yes,9/14/2021,20,41,4,NA,0.7122,NA,11,0.55,0.657090909,2.545454545,7.228,0.545454545
E40,E,40,5,CCMix,MastersChoice,2021,8/16/2021,yes,9/14/2021,20,39,4,NA,0.737,NA,10,0.5,0.1578,2.2,1.578,0.4
F33,F,33,5,ConvFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,39,4,0.8065,1.0152,0.794424744,NA,NA,NA,NA,NA,NA
F34,F,34,5,ConvFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,41,4,0.6187,0.6766,0.914425067,NA,NA,NA,NA,NA,NA
F35,F,35,5,ConvFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,32,4,0.3847,0.5832,0.659636488,NA,NA,NA,NA,NA,NA
F36,F,36,5,ConvFallow,MastersChoice,2021,8/16/2021,no,9/14/2021,0,51,4,0.8247,0.8678,0.950334178,NA,NA,NA,NA,NA,NA
F37,F,37,5,ConvFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,45,4,NA,0.8068,NA,15,0.789473684,0.600066667,2.733333333,9.001,0.733333333
F38,F,38,5,ConvFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,51,4,NA,0.7789,NA,6,0.315789474,0.750166667,2.833333333,4.501,0.833333333
F39,F,39,5,ConvFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,19,43,4,NA,0.7843,NA,3,0.157894737,0.720333333,3,2.161,1
F40,F,40,5,ConvFallow,MastersChoice,2021,8/16/2021,yes,9/14/2021,17,37,4,NA,0.4886,NA,3,0.176470588,0.507,3,1.521,1
G33,G,33,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,18,42,4,NA,0.846,NA,11,0.611111111,0.546363636,2.636363636,6.01,0.636363636
G34,G,34,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,40,4,NA,1.1676,NA,8,0.4,0.591,2.75,4.728,0.75
G35,G,35,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,28,4,NA,1.053,NA,6,0.3,0.670333333,2.833333333,4.022,0.833333333
G36,G,36,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,42,4,NA,1.1176,NA,7,0.35,0.824571429,3,5.772,1
G37,G,37,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,34,5,1.1903,0.8857,1.343908773,NA,NA,NA,NA,NA,NA
G38,G,38,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,30,4,0.8137,1.067,0.762605436,NA,NA,NA,NA,NA,NA
G39,G,39,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,27,4,1.1497,0.8887,1.293687409,NA,NA,NA,NA,NA,NA
G40,G,40,5,CCFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,32,4,0.8364,0.8989,0.930470575,NA,NA,NA,NA,NA,NA
H33,H,33,5,CCPea,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,39,4,NA,0.857,NA,12,0.6,0.357545455,2.4,3.933,0.333333333
H34,H,34,5,CCPea,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,25,4,NA,0.8948,NA,14,0.7,0.236785714,2.857142857,3.315,0.857142857
H35,H,35,5,CCPea,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,19,31,4,NA,0.914,NA,8,0.421052632,0.058428571,2,0.409,0
H36,H,36,5,CCPea,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,37,4,NA,0.8507,NA,2,0.1,0.463,2.5,0.926,0.5
H37,H,37,5,CCPea,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,43,4,0.5761,1.0702,0.538310596,NA,NA,NA,NA,NA,NA
H38,H,38,5,CCPea,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,46,4,1.3792,1.3097,1.053065588,NA,NA,NA,NA,NA,NA
H39,H,39,5,CCPea,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,29,4,0.8635,0.8593,1.004887699,NA,NA,NA,NA,NA,NA
H40,H,40,5,CCPea,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,37,4,0.8432,1.059,0.796222852,NA,NA,NA,NA,NA,NA
I33,I,33,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,27,4,NA,0.8981,NA,6,0.3,0.7428,2.8,3.714,0.666666667
I34,I,34,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,31,4,0.5344,0.6941,0.769917879,NA,NA,NA,NA,NA,NA
I35,I,35,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,18,33,4,NA,0.7754,NA,8,0.444444444,0.383125,2.5,3.065,0.5
I36,I,36,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,18,31,4,NA,0.8716,NA,9,0.5,0.259555556,2.25,2.336,0.222222222
I37,I,37,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,37,4,0.521,0.7855,0.663271801,NA,NA,NA,NA,NA,NA
I38,I,38,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,30,4,0.4923,0.7075,0.695830389,NA,NA,NA,NA,NA,NA
I39,I,39,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,35,4,0.7048,0.8075,0.872817337,NA,NA,NA,NA,NA,NA
I40,I,40,5,CCRadish,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,19,35,4,NA,0.8878,NA,8,0.421052632,0.64575,2.75,5.166,0.75
J33,J,33,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,19,38,4,NA,0.8058,NA,9,0.473684211,0.173111111,2.444444444,1.558,0.444444444
J34,J,34,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,36,4,NA,0.7328,NA,5,0.25,0.2486,2.2,1.243,0.2
J35,J,35,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,32,4,0.8706,1.019,0.854367026,NA,NA,NA,NA,NA,NA
J36,J,36,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,39,4,0.7289,0.9569,0.761730588,NA,NA,NA,NA,NA,NA
J37,J,37,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,44,4,1.3371,1.1869,1.126548151,NA,NA,NA,NA,NA,NA
J38,J,38,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,36,4,NA,1.0322,NA,10,0.5,0.344333333,2.7,3.099,0.7
J39,J,39,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,18,30,4,NA,0.7719,NA,3,0.166666667,0.512333333,3,1.537,1
J40,J,40,5,CCTriticale,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,30,4,1.1281,1.0141,1.112414949,NA,NA,NA,NA,NA,NA
K33,K,33,5,CCMix,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,19,37,4,NA,1.0609,NA,13,0.684210526,0.170538462,2.307692308,2.217,0.307692308
K34,K,34,5,CCMix,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,33,4,NA,1.0522,NA,14,0.7,0.441642857,2.571428571,6.183,0.571428571
K35,K,35,5,CCMix,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,34,4,NA,0.9089,NA,8,0.4,0.673,2.75,5.384,0.75
K36,K,36,5,CCMix,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,28,4,0.6201,0.4763,1.301910561,NA,NA,NA,NA,NA,NA
K37,K,37,5,CCMix,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,46,4,1.2047,1.153,1.044839549,NA,NA,NA,NA,NA,NA
K38,K,38,5,CCMix,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,47,4,0.6941,0.7983,0.869472629,NA,NA,NA,NA,NA,NA
K39,K,39,5,CCMix,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,19,35,4,NA,1.0704,NA,2,0.105263158,0.1855,2.5,0.371,0.5
K40,K,40,5,CCMix,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,31,4,0.9699,1.1632,0.833820495,NA,NA,NA,NA,NA,NA
L33,L,33,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,20,35,4,NA,0.674,NA,4,0.2,0.18075,2,0.723,0
L34,L,34,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,18,40,4,NA,0.8623,NA,12,0.666666667,0.399111111,2.545454545,3.592,0.583333333
L35,L,35,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,19,40,4,NA,0.6126,NA,9,0.473684211,0.568888889,2.555555556,5.12,0.555555556
L36,L,36,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,yes,9/14/2021,17,40,4,NA,0.7118,NA,4,0.235294118,0.197,2.5,0.788,0.5
L37,L,37,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,41,4,0.8753,0.8383,1.044136944,NA,NA,NA,NA,NA,NA
L38,L,38,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,39,4,0.6238,0.6329,0.985621741,NA,NA,NA,NA,NA,NA
L39,L,39,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,30,4,0.8014,1.0125,0.791506173,NA,NA,NA,NA,NA,NA
L40,L,40,5,ConvFallow,BlueRiverOrganic,2021,8/16/2021,no,9/14/2021,0,28,4,1.4763,0.8011,1.842841093,NA,NA,NA,NA,NA,NA
A41,A,41,6,CCFallow,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,0.4925,0.939,0.524494143,NA,NA,NA,NA,NA,NA
A42,A,42,6,CCFallow,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,0.4222,0.821,0.514250914,NA,NA,NA,NA,NA,NA
A43,A,43,6,CCFallow,MastersChoice,2021,8/30/2021,yes,10/4/2021,20,NA,NA,NA,0.8206,NA,13,0.65,0.189230769,2.384615385,2.46,0.384615385
A44,A,44,6,CCFallow,MastersChoice,2021,8/30/2021,yes,10/4/2021,18,NA,NA,NA,0.9516,NA,3,0.166666667,0.918,3,2.754,1
A45,A,45,6,CCFallow,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,0.4242,0.7833,0.54155496,NA,NA,NA,NA,NA,NA
A46,A,46,6,CCFallow,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A47,A,47,6,CCFallow,MastersChoice,2021,8/30/2021,yes,10/4/2021,19,NA,NA,NA,0.9728,NA,5,0.263157895,0.5722,3,2.861,1
A48,A,48,6,CCFallow,MastersChoice,2021,8/30/2021,yes,10/4/2021,17,NA,NA,NA,1.1611,NA,9,0.529411765,0.751555556,2.888888889,6.764,0.888888889
B41,B,41,6,CCPea,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,0.5999,1.5632,0.383764074,NA,NA,NA,NA,NA,NA
B42,B,42,6,CCPea,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B43,B,43,6,CCPea,MastersChoice,2021,8/30/2021,yes,10/4/2021,19,NA,NA,NA,0.9675,NA,7,0.368421053,0.999285714,3,6.995,1
B44,B,44,6,CCPea,MastersChoice,2021,8/30/2021,yes,10/4/2021,15,NA,NA,NA,1.3137,NA,7,0.466666667,0.794142857,2.714285714,5.559,0.714285714
B45,B,45,6,CCPea,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,0.7971,1.2696,0.627835539,NA,NA,NA,NA,NA,NA
B46,B,46,6,CCPea,MastersChoice,2021,8/30/2021,yes,10/4/2021,19,NA,NA,NA,1.2947,NA,1,0.052631579,0.702,3,0.702,1
B47,B,47,6,CCPea,MastersChoice,2021,8/30/2021,no,10/4/2021,0,NA,NA,0.9003,1.2519,0.719146897,NA,NA,NA,NA,NA,NA
B48,B,48,6,CCPea,MastersChoice,2021,8/30/2021,yes,10/4/2021,18,NA,NA,NA,1.2621,NA,7,0.388888889,0.373,3,2.238,0.857142857
C41,C,41,6,CCRadish,MastersChoice,2021,8/30/2021,yes,10/4/2021,18,NA,NA,NA,0.8961,NA,3,0.166666667,0.334,3,1.002,1
